step,duration_ms,fittest,fitness
0,2,178656,187
25000000,9286,1774537116,214
50000000,18774,1774537116,214
75000000,28423,1774537116,214
100000000,37894,1774537116,214
125000000,47299,1774537116,214
150000000,56980,1774537116,214
175000000,66337,1774537116,214
200000000,75891,1774537116,214
225000000,85483,1774537116,214
250000000,95172,1774537116,214
275000000,104595,1774537116,214
300000000,114017,1774537116,214
325000000,123543,1774537116,214
350000000,133165,1774537116,214
375000000,142730,1774537116,214
400000000,152221,1774537116,214
425000000,161789,1774537116,214
450000000,171368,1774537116,214
475000000,180926,1774537116,214
500000000,190678,1774537116,214
525000000,200072,1774537116,214
550000000,209419,1774537116,214
575000000,218954,1774537116,214
600000000,228447,1774537116,214
625000000,237929,1774537116,214
650000000,247489,1774537116,214
675000000,256980,1774537116,214
700000000,266681,1774537116,214
725000000,276226,1774537116,214
750000000,285810,1774537116,214
775000000,295226,1774537116,214
800000000,304995,1774537116,214
825000000,314669,1774537116,214
850000000,324110,1774537116,214
875000000,333697,1774537116,214
900000000,343175,1774537116,214
925000000,352744,1774537116,214
950000000,362413,1774537116,214
975000000,372149,1774537116,214
1000000000,382000,1774537116,214
1025000000,391693,1774537116,214
1050000000,401443,1774537116,214
1075000000,411122,1774537116,214
1100000000,420775,1774537116,214
1125000000,430301,1774537116,214
1150000000,440159,1774537116,214
1175000000,449742,1774537116,214
1200000000,459409,1774537116,214
1225000000,469441,1774537116,214
1250000000,479103,1774537116,214
1275000000,489054,1774537116,214
1300000000,498721,1774537116,214
1325000000,508423,1774537116,214
1350000000,518287,1774537116,214
1375000000,528124,1774537116,214
1400000000,537634,1774537116,214
1425000000,547280,1774537116,214
1450000000,556810,1774537116,214
1475000000,566476,1774537116,214
1500000000,576516,1774537116,214
1525000000,586161,1774537116,214
1550000000,595498,1774537116,214
1575000000,604943,1774537116,214
